Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,16.0098,16.095699,15.9043,16.0683,2.422041,47600787.0
1996-01-02,16.029301,16.107401,15.8262,15.9434,2.403215,77143764.0
1996-01-03,16.205,16.943001,16.029301,16.0644,2.421453,95695836.0
1996-01-04,15.9121,15.9629,15.7013,15.916,2.399085,99159504.0
1996-01-05,15.8536,15.8536,15.67,15.8067,2.382609,76213503.0
1996-01-08,15.7755,15.7872,15.0179,15.1741,2.287255,85478335.0
1996-01-09,14.7251,14.9945,14.2331,14.7368,2.221339,177730990.0
1996-01-10,14.4478,14.7954,14.2916,14.358,2.164241,126455257.0
1996-01-11,14.2135,14.8774,14.194,14.8071,2.231935,187276245.0
1996-01-12,14.9164,15.0296,14.5533,14.6509,2.208391,171294714.0
1996-01-15,14.6079,14.6821,14.4166,14.4986,2.185434,91424832.0
1996-01-16,14.4478,14.604,14.401,14.5259,2.189549,99318282.0
1996-01-17,14.4478,14.4674,13.827,13.948,2.10244,136980711.0
1996-01-18,13.5927,13.8153,13.417,13.5614,2.044166,172581585.0
1996-01-19,13.374,13.5419,13.2334,13.3232,2.008261,148366639.0
1996-01-22,13.3662,13.7254,13.3545,13.5497,2.042403,154802916.0
1996-01-23,13.5966,13.6552,12.2611,12.9757,1.955881,162257165.0
1996-01-24,12.8625,12.9406,12.3392,12.5306,1.888789,160550300.0
1996-01-25,12.5032,12.5579,11.9292,12.0034,1.809322,164971119.0
1996-01-29,11.9487,13.0616,11.8746,12.9484,1.951766,298484960.0
1996-01-30,13.3545,14.7602,13.1592,14.112,2.127161,485481422.0
1996-01-31,13.9793,14.5064,13.4521,13.8035,2.080659,334445006.0
1996-02-01,13.6669,14.4478,13.6278,14.358,2.164241,292779831.0
1996-02-02,14.7407,16.0879,14.7407,15.916,2.399085,374293835.0
1996-02-05,16.790701,17.587299,16.287001,17.239799,2.598627,558877894.0
1996-02-06,17.6537,17.9622,15.4319,15.795,2.380846,567944894.0
1996-02-07,14.9203,16.243999,14.7641,16.0879,2.424996,409365875.0
1996-02-08,16.2519,17.778601,16.0879,17.493601,2.636883,375632565.0
1996-02-09,18.118401,18.8993,17.5014,18.5089,2.789923,454624685.0
1996-02-12,18.0403,18.3526,17.1031,17.3491,2.615101,444182462.0
1996-02-13,17.1812,19.0672,17.032801,18.391701,2.772258,465868482.0
1996-02-14,18.8603,19.1297,18.2628,18.4034,2.774021,284567545.0
1996-02-15,17.9622,18.547899,17.806,18.1105,2.729872,319621659.0
1996-02-16,17.806,17.981701,17.6537,17.7904,2.681621,226593039.0
1996-02-19,18.118401,18.368299,17.8645,17.969999,2.708693,236918099.0
1996-02-20,17.9622,18.0364,16.790701,17.021099,2.565661,292189535.0
1996-02-22,17.415501,18.0403,17.263201,17.919201,2.701035,280498215.0
1996-02-23,17.8841,17.9231,17.431101,17.7279,2.6722,249656203.0
1996-02-26,17.9231,18.2941,17.6537,17.766899,2.678077,249137613.0
1996-02-27,17.8685,17.9622,17.263201,17.5639,2.64748,248008880.0
1996-02-28,17.903601,18.102699,17.610701,17.649799,2.660428,195587768.0
1996-02-29,17.493601,17.556101,16.439301,16.544701,2.493852,319055691.0
1996-03-01,16.673599,16.884399,16.287001,16.638399,2.507975,330610002.0
1996-03-04,16.712601,16.790701,16.275299,16.4666,2.482079,307859272.0
1996-03-06,16.751699,17.1656,16.6033,17.052299,2.570363,248632468.0
1996-03-07,17.290501,17.5912,17.122601,17.204599,2.59332,390607648.0
1996-03-08,16.986,17.1812,16.7712,17.114799,2.579784,295707623.0
1996-03-11,16.868799,17.220301,16.802401,17.1695,2.58803,288513950.0
1996-03-12,17.1422,18.586901,17.0641,18.052,2.721053,367109765.0
1996-03-13,17.571699,17.8255,17.356899,17.7435,2.674551,264112056.0
1996-03-14,17.7279,17.9153,17.610701,17.739599,2.673963,273207866.0
1996-03-15,17.645901,17.7006,17.025,17.157801,2.586266,284560502.0
1996-03-18,16.9821,17.025,16.314301,16.376801,2.468543,305076173.0
1996-03-19,16.3221,16.6189,15.0336,15.3694,2.316694,474215218.0
1996-03-21,16.0098,16.6423,16.0098,16.470501,2.482667,306511579.0
1996-03-22,16.1621,16.1621,15.5021,15.8028,2.382022,308507189.0
1996-03-25,16.005899,16.095699,15.4826,15.7091,2.367897,209001319.0
1996-03-26,15.6193,15.9317,15.1117,15.6076,2.352598,243386388.0
1996-03-27,16.166,16.396299,16.091801,16.1621,2.43618,172456739.0
1996-03-28,16.205,16.454901,16.150299,16.3729,2.467955,164309756.0
1996-03-29,16.353399,16.458799,16.1035,16.1542,2.434989,149017118.0
1996-04-01,16.224501,16.3612,16.0879,16.306499,2.457946,113153107.0
1996-04-02,16.3417,16.5564,16.185499,16.349501,2.464428,167974458.0
1996-04-03,16.716499,16.900101,16.4471,16.4862,2.485033,135793076.0
1996-04-04,16.3221,16.3456,16.119101,16.290899,2.455595,110561438.0
